30321279,47.7572246,-122.185185,STBrenden,1340045,2,17982983,2013-09-23T00:24:51Z
30358895,47.4619468,-122.255783,STBrenden,1340045,3,16988346,2013-07-17T15:32:50Z
30360160,47.4646971,-122.2721683,Amoebabadass,11131,2,415056,2007-11-05T03:54:36Z
30361267,47.8380901,-122.2722794,compdude,282329,2,16621204,2013-06-19T19:30:50Z
30375512,47.6535442,-122.1386262,STBrenden,1340045,6,20307867,2014-01-31T22:42:57Z
30382976,48.4261152,-123.3750978,oceanearth,811124,3,27945253,2015-01-05T23:48:06Z
30385110,48.4493612,-123.4134311,CoreyBurger,6009,1,96225,2007-06-15T05:50:17Z
30387379,48.4561148,-123.4299673,alester,307202,3,13842070,2012-11-12T02:40:13Z
30422320,47.5773718,-122.1390103,STBrenden,1340045,3,18756892,2013-11-07T00:11:45Z
30445466,48.4266244,-123.3398533,alester,307202,4,9924797,2011-11-23T18:57:18Z
30449263,48.4526732,-123.4208368,alester,307202,2,12040292,2012-06-27T19:57:11Z
30449731,48.4416437,-123.3819613,CoreyBurger,6009,1,98695,2007-06-16T22:37:01Z
30458578,47.6347622,-122.3233529,sctrojan79,2601744,10,37658530,2016-03-07T05:35:22Z
30472748,47.6571059,-122.3737693,seattlefyi,692614,7,16413658,2013-06-03T22:17:39Z
30476350,47.6471834,-122.3261231,Wim L,223681,3,4691230,2010-05-13T22:09:11Z
30517575,47.6511649,-122.5843935,Wim L,223681,2,7958792,2011-04-25T02:58:37Z
30523884,47.6283337,-122.3341814,Ethan O'Connor,46220,2,4005818,2010-03-01T05:08:26Z
30545143,48.4937281,-122.8347919,ewedistrict,8609,2,999759,2009-04-28T07:04:07Z
30546247,48.4990064,-122.8161974,Wim L,223681,2,8325580,2011-06-03T01:50:12Z
30757906,47.793773,-122.3157803,Sunny,34124,8,51819,2008-12-02T18:46:39Z
30783458,47.6528723,-122.215745,bryceco,624323,4,13228212,2012-09-24T03:23:43Z
30785309,47.6857934,-122.2489435,sea duck,1715576,2,18809743,2013-11-10T03:09:51Z
30785671,47.7081299,-122.275317,Wim L,223681,2,5703592,2010-09-06T23:06:53Z
30786284,47.6850121,-122.216393,Heptazane,23762,3,8315444,2011-06-02T00:34:18Z
30786671,47.6837308,-122.2158296,Heptazane,23762,3,8315444,2011-06-02T00:34:18Z
30787358,47.535801,-122.199802,amillar,28145,2,281394,2008-08-16T19:11:29Z
30788687,47.643529,-122.240847,cohort,7932,1,110103,2007-06-24T09:45:46Z
30789215,47.6263583,-122.2811437,jeffmeyer,519645,5,16387013,2013-06-02T06:58:32Z
30790055,47.700116,-122.3298884,ewedistrict,8609,2,342102,2007-10-28T14:18:51Z
30824733,48.4930326,-123.3697693,CoreyBurger,6009,1,110010,2007-06-24T01:04:28Z
30825378,48.480887,-123.3861287,CoreyBurger,6009,1,110010,2007-06-24T01:26:41Z
30828313,48.4314698,-123.3983922,alester,307202,2,13842354,2012-11-12T04:08:56Z
30828554,48.4605375,-123.4084923,alester,307202,2,39069459,2016-05-03T15:48:24Z
30828758,48.4631134,-123.4730907,alester,307202,2,39069459,2016-05-03T15:48:29Z
30828979,48.4553523,-123.4172784,alester,307202,3,22097218,2014-05-03T05:17:53Z
30830097,48.4312746,-123.4124682,Sundance,239998,2,24668732,2014-08-11T03:57:28Z
30888062,47.5526047,-122.3183938,STBrenden,1340045,4,18860185,2013-11-12T18:22:14Z
31190938,47.787809,-122.2007051,compdude,282329,3,37619392,2016-03-05T00:28:43Z
31247650,47.6809056,-122.3404284,Sunny,34124,7,301149,2009-04-07T19:27:08Z
31253093,47.5335974,-122.334706,STBrenden,1340045,4,19064410,2013-11-22T23:31:03Z
31327683,47.5472012,-122.3212113,Omnific,1408522,3,41550641,2016-08-19T08:03:43Z
31477874,48.4638702,-123.5518639,alester,307202,4,14531801,2013-01-04T22:19:56Z
31546323,47.7557571,-122.2895084,Wim L,223681,2,4419923,2010-04-14T06:55:54Z
31822578,48.4497263,-123.2954164,CoreyBurger,6009,1,141800,2007-07-12T23:42:55Z
31826077,48.4426756,-123.2944926,CoreyBurger,6009,1,141800,2007-07-13T00:11:02Z
32097288,47.6749533,-122.264022,OSMF Redaction Account,722137,4,12303180,2012-07-19T01:03:18Z
32271168,47.6587159,-122.2985539,sctrojan79,2601744,12,36847965,2016-01-27T23:52:01Z
32477020,46.6918542,-123.8271974,OSMF Redaction Account,722137,4,12310550,2012-07-19T06:37:40Z
32477748,47.2544934,-122.7384708,OSMF Redaction Account,722137,4,12309049,2012-07-19T05:18:21Z
32478489,47.1329021,-122.8402545,OSMF Redaction Account,722137,5,12309602,2012-07-19T05:50:22Z
32479238,47.2860389,-122.6807862,OSMF Redaction Account,722137,3,12309028,2012-07-19T05:16:05Z
32479919,47.261868,-122.4402279,Amoebabadass,11131,3,3478,2008-06-01T04:30:42Z
32480682,47.1388469,-122.9075915,OSMF Redaction Account,722137,4,12309688,2012-07-19T05:54:41Z
32481464,47.1359145,-123.0854609,OSMF Redaction Account,722137,3,12318844,2012-07-19T10:34:08Z
32482275,47.1575847,-123.0064868,OSMF Redaction Account,722137,3,12318748,2012-07-19T10:31:14Z
32483093,46.7443074,-123.888276,OSMF Redaction Account,722137,3,12310575,2012-07-19T06:39:28Z
32483861,47.0547465,-122.9952,Brad Meteor,1529630,5,16728233,2013-06-27T15:36:28Z
32484590,47.1826276,-122.8520096,OSMF Redaction Account,722137,3,12309609,2012-07-19T05:50:43Z
32485297,47.1987211,-122.2617001,Amoebabadass,11131,4,608284,2008-07-27T13:29:18Z
32485977,47.2976336,-122.848601,OSMF Redaction Account,722137,4,12309441,2012-07-19T05:41:41Z
32486617,47.2945159,-122.8908978,OSMF Redaction Account,722137,3,12309545,2012-07-19T05:47:05Z
32487385,47.2453575,-123.03415,OSMF Redaction Account,722137,3,12318772,2012-07-19T10:31:35Z
32488282,47.1276058,-122.7865808,OSMF Redaction Account,722137,3,12309573,2012-07-19T05:48:42Z
32489087,47.1700703,-122.9833003,OSMF Redaction Account,722137,3,12309771,2012-07-19T05:58:32Z
32489811,47.2326884,-122.3837242,Amoebabadass,11131,3,608284,2008-07-27T12:44:55Z
32490615,47.1031264,-122.9439328,OSMF Redaction Account,722137,4,12309943,2012-07-19T06:05:18Z
32491387,47.2057282,-122.7517675,OSMF Redaction Account,722137,4,12309573,2012-07-19T05:48:55Z
32492115,47.2045832,-123.0471333,OSMF Redaction Account,722137,3,12318748,2012-07-19T10:31:18Z
32492836,47.1954022,-122.2754757,Amoebabadass,11131,3,608284,2008-07-27T12:40:08Z
32493544,47.1144825,-122.7550552,OSMF Redaction Account,722137,3,12309661,2012-07-19T05:53:09Z
32494644,46.734362,-123.8798914,OSMF Redaction Account,722137,3,12310575,2012-07-19T06:39:26Z
32495467,47.0879846,-122.695623,OSMF Redaction Account,722137,4,12309296,2012-07-19T05:34:18Z
32496225,47.1536649,-123.0267989,OSMF Redaction Account,722137,3,12318748,2012-07-19T10:31:11Z
32497139,47.2960419,-122.8615274,OSMF Redaction Account,722137,4,12309441,2012-07-19T05:41:40Z
32497982,47.153682,-123.0132003,OSMF Redaction Account,722137,3,12318748,2012-07-19T10:31:11Z
32498957,47.1586772,-122.8264849,Brad Meteor,1529630,4,16720687,2013-06-27T01:13:44Z
32499812,47.2513654,-122.6435725,Amoebabadass,11131,3,138964,2008-04-14T00:54:03Z
32500575,47.1279075,-122.707877,OSMF Redaction Account,722137,3,12309161,2012-07-19T05:26:10Z
32501415,47.2251097,-122.3642963,Amoebabadass,11131,3,608284,2008-07-27T12:39:26Z
32502513,47.2356719,-122.9255892,OSMF Redaction Account,722137,3,12309703,2012-07-19T05:55:23Z
32503285,47.144942,-122.8893376,OSMF Redaction Account,722137,3,12309688,2012-07-19T05:54:46Z
32504269,47.0932284,-122.7122944,OSMF Redaction Account,722137,3,12309296,2012-07-19T05:34:22Z
