5914120,balrog-kun,20587,2,4304468,2010-04-02T18:10:23Z
5914350,balrog-kun,20587,2,4304468,2010-04-02T18:11:54Z
5914573,balrog-kun,20587,2,4304468,2010-04-02T18:13:35Z
5914804,DaveHansenTiger,7168,1,402605,2007-09-10T04:34:05Z
5915048,balrog-kun,20587,2,4304468,2010-04-02T18:16:30Z
5915294,balrog-kun,20587,2,4304468,2010-04-02T18:18:07Z
5915533,balrog-kun,20587,2,4304468,2010-04-02T18:19:30Z
5915765,balrog-kun,20587,2,4304468,2010-04-02T18:21:20Z
5915997,skyboysea,461624,3,32413747,2015-07-04T20:03:05Z
5916232,balrog-kun,20587,2,4304468,2010-04-02T18:24:24Z
5916491,balrog-kun,20587,2,4304468,2010-04-02T18:25:40Z
5916734,dannykath,2226712,3,40266800,2016-06-24T17:01:15Z
5916961,balrog-kun,20587,2,4304468,2010-04-02T18:28:44Z
5917193,balrog-kun,20587,2,4304468,2010-04-02T18:30:30Z
5917420,balrog-kun,20587,2,4304468,2010-04-02T18:32:04Z
5917653,skyboysea,461624,3,31820540,2015-06-08T16:32:43Z
5917882,balrog-kun,20587,2,4304468,2010-04-02T18:35:25Z
5918102,balrog-kun,20587,2,4304468,2010-04-02T18:37:20Z
5918318,balrog-kun,20587,2,4304468,2010-04-02T18:38:50Z
5918540,skyboysea,461624,3,32412085,2015-07-04T18:07:20Z
5918760,skyboysea,461624,4,8335164,2011-06-03T23:38:57Z
5918980,skyboysea,461624,3,32402834,2015-07-04T05:17:15Z
5919200,Iowa Kid,703517,4,34904134,2015-10-27T13:58:50Z
5919416,balrog-kun,20587,2,4304468,2010-04-02T18:46:20Z
5919634,balrog-kun,20587,2,4304468,2010-04-02T18:47:51Z
5919846,balrog-kun,20587,2,4304468,2010-04-02T18:49:13Z
5920069,balrog-kun,20587,2,4304468,2010-04-02T18:50:44Z
5920346,skyboysea,461624,4,32657346,2015-07-15T17:38:54Z
5920616,balrog-kun,20587,2,4304468,2010-04-02T18:54:04Z
5920880,balrog-kun,20587,2,4304468,2010-04-02T18:55:21Z
5921157,balrog-kun,20587,2,4304468,2010-04-02T18:56:40Z
5932404,Brad Meteor,1529630,3,16811993,2013-07-03T20:09:57Z
5934496,DaveHansenTiger,7168,1,405301,2007-09-10T15:12:27Z
5936216,DaveHansenTiger,7168,1,405748,2007-09-10T15:57:58Z
5937791,Brad Meteor,1529630,2,16811993,2013-07-03T20:30:39Z
6057088,DaveHansenTiger,7168,1,413319,2007-09-12T11:01:02Z
6058332,Brad Meteor,1529630,2,16768885,2013-06-30T19:29:56Z
6059862,Brad Meteor,1529630,2,16814916,2013-07-04T01:14:52Z
6060807,DaveHansenTiger,7168,1,413624,2007-09-12T13:12:42Z
6061765,Paul Johnson,92286,2,1313517,2009-05-25T08:21:09Z
6062930,NE2,207745,5,12543168,2012-07-30T05:13:42Z
6063741,balrog-kun,20587,2,4304478,2010-04-02T15:24:25Z
6064073,Natfoot,567792,2,32703850,2015-07-17T18:30:37Z
6064440,DaveHansenTiger,7168,1,414302,2007-09-12T16:26:17Z
6064810,DaveHansenTiger,7168,1,414302,2007-09-12T16:42:39Z
6065161,DaveHansenTiger,7168,1,414302,2007-09-12T16:55:36Z
6065447,DaveHansenTiger,7168,1,414302,2007-09-12T17:08:23Z
6065811,DaveHansenTiger,7168,1,414302,2007-09-12T17:20:24Z
6066068,Brad Meteor,1529630,2,17825446,2013-09-13T23:49:15Z
6066412,Brad Meteor,1529630,2,17827351,2013-09-14T05:24:37Z
6066671,DaveHansenTiger,7168,1,414302,2007-09-12T17:40:48Z
6066959,DaveHansenTiger,7168,1,414302,2007-09-12T17:47:10Z
6067279,DaveHansenTiger,7168,1,414302,2007-09-12T17:52:36Z
6067569,AKJo,656396,3,13194851,2012-09-21T12:08:27Z
6067833,DaveHansenTiger,7168,1,414302,2007-09-12T18:05:38Z
6068151,Brad Meteor,1529630,2,32837360,2015-07-23T21:32:04Z
6068486,SeattleImport,1382179,3,19266903,2013-12-04T07:06:43Z
6068852,Ivan Komarov,69864,3,15980168,2013-05-05T06:57:47Z
6069173,balrog-kun,20587,2,4304478,2010-04-02T15:30:53Z
6069455,Wim L,223681,4,15216722,2013-03-02T01:25:53Z
6069755,salix01,76002,4,32796654,2015-07-22T09:16:50Z
6070100,AMY-jin,838709,4,12926948,2012-08-31T06:57:01Z
6070398,balrog-kun,20587,2,4304478,2010-04-02T15:35:53Z
6070656,Amoebabadass,11131,3,4967541,2010-06-12T04:02:48Z
6070980,Wim L,223681,3,8070885,2011-05-07T06:30:35Z
6071289,balrog-kun,20587,2,4304478,2010-04-02T15:39:42Z
6071540,balrog-kun,20587,2,4304478,2010-04-02T15:40:40Z
6071806,balrog-kun,20587,2,4304478,2010-04-02T15:41:38Z
6072121,Ivan Komarov,69864,3,6074682,2010-10-18T02:16:16Z
6072428,balrog-kun,20587,2,4304478,2010-04-02T15:44:13Z
6072696,balrog-kun,20587,2,4304478,2010-04-02T15:45:22Z
6073013,balrog-kun,20587,2,4304478,2010-04-02T15:46:53Z
6073351,balrog-kun,20587,2,4304478,2010-04-02T15:48:44Z
6075952,aiwetir,466995,3,41968938,2016-09-07T01:02:25Z
6077869,DaveHansenTiger,7168,1,415417,2007-09-12T22:23:18Z
6080292,DaveHansenTiger,7168,1,415417,2007-09-12T23:29:59Z
